bike_color,bike_type,bike_year,brand,energy,engine_size,first_hand,homologue,mileage,model,price,reference,scraped_date,source,uniqid,url,version,warranty,year_circulation
Rouge,Custom,1998,Honda,,125,Oui,,25350,CM125 C,1690,1863438,2021-06-22 11:25:54.151893,motovente,motovente-1863438,http://motovente.com/moto-occasion/annonce-moto-honda-1863438.html,CM125 C,non,09-06-1998
Noir,Scooter,2018,Piaggio,,300,Oui,,32400,MP3 300 LT ABS,4100,1869168,2021-06-22 11:25:54.178142,motovente,motovente-1869168,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1869168.html,MP3 300 LT ABS,non,20-10-2018
Blanc,Collection,2017,Honda,Essence 4t,1100,,,2700,CB,16995,1872944,2021-06-22 11:25:54.206403,motovente,motovente-1872944,http://motovente.com/moto-collection/annonce-moto-honda-1872944.html,CB1100R Restomod,,18-06-2017
Blanc,Trail,2018,Honda,,1000,,,14576,CRF1000L AFRICA,12490,1871444,2021-06-22 11:25:54.234164,motovente,motovente-1871444,http://motovente.com/moto-occasion/annonce-moto-honda-1871444.html,CRF1000L AFRICA,non,20-04-2018
Blanc,Routière,2004,Harley-Davidson,Essence 4t,1450,,,76894,Road King,12000,1871014,2021-06-22 11:25:54.260410,motovente,motovente-1871014,http://motovente.com/moto-occasion/annonce-moto-harley_davidson-1871014.html,,,01-01-2004
Noir,Scooter,2018,Yamaha,,400,,,4790,X-MAX 400,5690,1864640,2021-06-22 11:25:54.288413,motovente,motovente-1864640,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1864640.html,X-MAX 400,non,12-07-2018
Noir,Roadster,2015,BMW,,1200,,,1700,R NineT  CAFE RACER,19990,1870724,2021-06-22 11:25:54.315584,motovente,motovente-1870724,http://motovente.com/moto-occasion/annonce-moto-bmw-1870724.html,R NineT  CAFE RACER,non,16-04-2015
Blanc,Scooter,2018,Piaggio,,300,Oui,,5050,MP3 300LT YOURBAN,4999,1863157,2021-06-22 11:25:54.343398,motovente,motovente-1863157,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1863157.html,MP3 300LT YOURBAN,non,28-06-2018
Vert,Roadster,2002,Triumph,,790,,,14658,BONNEVILLE,6790,1873827,2021-06-22 11:25:54.371467,motovente,motovente-1873827,http://motovente.com/moto-occasion/annonce-moto-triumph-1873827.html,,non,23-10-2002
Bleu,Scooter,2017,Yamaha,,530,Oui,,4600,TMAX 530 DX,10590,1838349,2021-06-22 11:25:54.420299,motovente,motovente-1838349,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1838349.html,TMAX 530 DX,non,08-06-2017
Bleu,Scooter,2019,Peugeot,,50,,,318,KISBEE,1690,1874195,2021-06-22 11:25:54.446545,motovente,motovente-1874195,http://motovente.com/scooter-occasion/annonce-scooter-peugeot-1874195.html,,non,17-07-2019
Argent,Routière,1985,Honda,,1200,,,48353,GOLDWING 1200,2490,1871905,2021-06-22 11:25:54.474453,motovente,motovente-1871905,http://motovente.com/moto-occasion/annonce-moto-honda-1871905.html,GOLDWING 1200,non,04-09-1985
Blanc,Custom,2019,Indian,,1811,,,4208,SPRINGFIELD,22900,1832525,2021-06-22 11:25:54.501195,motovente,motovente-1832525,http://motovente.com/moto-occasion/annonce-moto-indian-1832525.html,SPRINGFIELD,non,12-05-2019
Noir,Routière,2008,Yamaha,,1300,,,85670,FJR,5490,1874396,2021-06-22 11:25:54.528801,motovente,motovente-1874396,http://motovente.com/moto-occasion/annonce-moto-yamaha-1874396.html,FJR 1300 ABS,non,20-11-2008
,Scooter,2021,Piaggio,,500,Oui,,127,MP3 500,10290,1874422,2021-06-22 11:25:54.555544,motovente,motovente-1874422,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1874422.html,MP3 500,non,27-05-2021
Blanc,Scooter,2005,Piaggio,,125,,,10370,LIBERTY 125,1190,1872606,2021-06-22 11:25:54.583535,motovente,motovente-1872606,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1872606.html,LIBERTY 125,non,20-05-2005
Argent,Custom,2000,Kawasaki,,1471,,,40477,VN 1500 DRIFTER,3890,1873481,2021-06-22 11:25:54.612099,motovente,motovente-1873481,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1873481.html,VN 1500 DRIFTER,non,11-10-2000
Noir,Roadster,2015,Kawasaki,,800,,,19900,Z 800,6990,1873682,2021-06-22 11:25:54.639033,motovente,motovente-1873682,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1873682.html,Z 800,non,21-05-2015
Noir,Routière,1997,Kawasaki,,500,,,18132,GPZ,2200,1873136,2021-06-22 11:25:56.286312,motovente,motovente-1873136,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1873136.html,,non,17-04-1997
